,total_sqft,bhk,sq_m,baths,Location,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft
289,780.0,2.0,72,2.0,other,78.0,0,1,0,0,10000.0
291,450.0,1.0,42,1.0,other,85.0,0,1,0,0,18888.89
296,955.0,2.0,89,2.0,other,90.0,0,1,0,0,9424.08
297,344.0,1.0,32,2.0,other,45.0,0,0,0,1,13081.4
298,450.0,1.0,42,2.0,other,45.0,0,0,1,0,10000.0
299,650.0,2.0,60,2.0,other,55.0,0,1,0,0,8461.54
301,900.0,3.0,84,2.0,other,110.0,1,0,0,0,12222.22
302,675.0,2.0,63,2.0,other,50.0,0,0,0,1,7407.41
303,750.0,2.0,70,2.0,other,53.0,0,1,0,0,7066.67
305,450.0,1.0,42,1.0,other,35.0,1,0,0,0,7777.78
306,540.0,1.0,50,1.0,other,11.5,0,0,0,1,2129.63
308,450.0,1.0,42,1.0,other,40.0,0,0,0,1,8888.89
310,656.0,2.0,61,2.0,other,100.0,0,1,0,0,15243.9
311,517.0,1.0,48,1.0,other,32.0,0,1,0,0,6189.56
314,300.0,1.0,28,1.0,other,15.0,1,0,0,0,5000.0
315,900.0,3.0,84,2.0,other,75.0,0,1,0,0,8333.33
319,910.0,3.0,85,2.0,other,75.0,1,0,0,0,8241.76
320,495.0,1.0,46,1.0,other,16.25,0,0,0,1,3282.83
321,420.0,1.0,39,1.0,other,20.5,0,0,0,1,4880.95
323,900.0,2.0,84,2.0,other,145.0,0,1,0,0,16111.11
324,950.0,3.0,88,2.0,other,80.0,0,1,0,0,8421.05
325,873.0,2.0,81,2.0,other,160.0,0,1,0,0,18327.61
326,900.0,3.0,84,2.0,other,75.0,0,0,0,1,8333.33
327,350.0,1.0,33,1.0,other,22.0,0,1,0,0,6285.71
329,650.0,1.0,60,1.0,other,85.0,0,1,0,0,13076.92
330,700.0,2.0,65,2.0,other,63.0,0,1,0,0,9000.0
331,756.0,2.0,70,2.0,other,133.0,0,1,0,0,17592.59
333,685.0,2.0,64,1.0,other,55.0,0,1,0,0,8029.2
334,920.0,3.0,85,3.0,other,140.0,0,1,0,0,15217.39
335,750.0,2.0,70,1.0,other,105.0,0,1,0,0,14000.0
336,750.0,2.0,70,1.0,other,110.0,0,1,0,0,14666.67
337,715.0,1.0,66,1.0,other,36.0,1,0,0,0,5034.97
340,950.0,2.0,88,2.0,other,170.0,1,0,0,0,17894.74
341,450.0,1.0,42,1.0,other,35.0,0,0,0,1,7777.78
342,400.0,1.0,37,1.0,other,64.0,1,0,0,0,16000.0
343,450.0,1.0,42,1.0,other,22.0,0,0,0,1,4888.89
344,900.0,3.0,84,2.0,other,80.0,0,1,0,0,8888.89
351,540.0,1.0,50,1.0,other,27.0,0,0,0,1,5000.0
355,900.0,2.0,84,2.0,other,70.0,0,0,0,1,7777.78
356,500.0,1.0,46,1.0,other,35.0,1,0,0,0,7000.0
357,950.0,2.0,88,2.0,other,100.0,0,1,0,0,10526.32
359,720.0,2.0,67,2.0,other,55.0,1,0,0,0,7638.89
360,355.0,1.0,33,1.0,other,20.0,0,1,0,0,5633.8
361,650.0,2.0,60,2.0,other,50.0,0,0,0,1,7692.31
362,800.0,1.0,74,1.0,other,48.0,0,0,0,1,6000.0
363,300.0,1.0,28,1.0,other,14.0,0,1,0,0,4666.67
364,630.0,2.0,59,1.0,other,75.0,0,0,0,1,11904.76
365,648.0,2.0,60,2.0,other,65.0,0,1,0,0,10030.86
368,900.0,3.0,84,2.0,other,125.0,0,0,1,0,13888.89
369,750.0,2.0,70,2.0,other,90.0,1,0,0,0,12000.0
370,550.0,1.0,51,1.0,other,68.0,1,0,0,0,12363.64
375,312.0,1.0,29,1.0,other,36.0,1,0,0,0,11538.46
378,900.0,2.0,84,2.0,other,95.0,0,0,0,1,10555.56
380,602.0,2.0,56,2.0,other,100.0,0,1,0,0,16611.3
381,668.0,2.0,62,1.0,other,55.0,0,1,0,0,8233.53
382,450.0,1.0,42,1.0,other,22.0,0,0,0,1,4888.89
383,300.0,1.0,28,1.0,other,100.0,0,1,0,0,33333.33
384,525.0,1.0,49,1.0,other,105.0,1,0,0,0,20000.0
385,493.0,1.0,46,1.0,other,8.0,0,0,0,1,1622.72
386,890.0,2.0,83,2.0,other,140.0,0,0,0,1,15730.34
387,450.0,1.0,42,2.0,other,13.0,0,1,0,0,2888.89
388,484.0,1.0,45,2.0,other,60.0,0,1,0,0,12396.69
390,800.0,2.0,74,2.0,other,85.0,0,0,0,1,10625.0
391,495.0,1.0,46,1.0,other,16.5,0,1,0,0,3333.33
392,720.0,2.0,67,2.0,other,70.0,0,1,0,0,9722.22
396,650.0,2.0,60,2.0,other,62.0,1,0,0,0,9538.46
398,900.0,2.0,84,2.0,other,125.0,0,1,0,0,13888.89
399,650.0,2.0,60,2.0,other,97.0,0,0,1,0,14923.08
401,810.0,2.0,75,2.0,other,70.0,0,1,0,0,8641.98
402,450.0,1.0,42,1.0,other,20.0,0,1,0,0,4444.44
404,550.0,1.0,51,2.0,other,65.0,1,0,0,0,11818.18
406,410.0,1.0,38,1.0,other,16.0,1,0,0,0,3902.44
407,410.0,1.0,38,1.0,other,15.0,0,0,0,1,3658.54
408,840.0,2.0,78,1.0,other,85.0,0,1,0,0,10119.05
409,450.0,1.0,42,1.0,other,65.0,0,1,0,0,14444.44
410,500.0,1.0,46,1.0,other,20.0,0,1,0,0,4000.0
412,450.0,1.0,42,1.0,other,23.0,1,0,0,0,5111.11
415,900.0,3.0,84,1.0,other,150.0,0,0,1,0,16666.67
416,400.0,1.0,37,1.0,other,40.0,0,0,0,1,10000.0
422,630.0,2.0,59,2.0,other,56.0,0,1,0,0,8888.89
424,754.0,2.0,70,2.0,other,82.0,0,1,0,0,10875.33
425,600.0,2.0,56,3.0,other,115.0,1,0,0,0,19166.67
427,903.0,3.0,84,3.0,other,96.0,1,0,0,0,10631.23
428,585.0,1.0,54,1.0,other,35.0,0,1,0,0,5982.91
429,450.0,1.0,42,1.0,other,32.0,0,1,0,0,7111.11
430,730.0,2.0,68,2.0,other,60.0,0,1,0,0,8219.18
431,360.0,1.0,33,2.0,other,18.5,0,1,0,0,5138.89
432,753.0,2.0,70,2.0,other,82.0,0,1,0,0,10889.77
436,460.0,1.0,43,1.0,other,17.0,0,0,0,1,3695.65
437,720.0,2.0,67,2.0,other,92.0,0,1,0,0,12777.78
438,980.0,2.0,91,2.0,other,130.0,0,1,0,0,13265.31
439,640.0,2.0,59,2.0,other,45.0,0,1,0,0,7031.25
440,900.0,2.0,84,2.0,other,200.0,1,0,0,0,22222.22
441,312.0,1.0,29,1.0,other,36.0,1,0,0,0,11538.46
443,750.0,2.0,70,1.0,other,65.0,0,1,0,0,8666.67
444,861.0,2.0,80,2.0,other,175.0,0,1,0,0,20325.2
446,900.0,3.0,84,2.0,other,76.0,0,1,0,0,8444.44
447,904.0,3.0,84,3.0,other,140.0,0,0,0,1,15486.73
448,600.0,2.0,56,1.0,other,72.0,0,1,0,0,12000.0
450,337.0,1.0,31,1.0,other,27.5,1,0,0,0,8160.24
451,900.0,2.0,84,2.0,other,125.0,0,0,0,1,13888.89
452,700.0,2.0,65,2.0,other,55.0,0,1,0,0,7857.14
453,400.0,1.0,37,2.0,other,14.5,0,1,0,0,3625.0
454,450.0,1.0,42,1.0,other,18.0,0,0,0,1,4000.0
455,625.0,2.0,58,1.0,other,51.0,0,0,0,1,8160.0
456,500.0,1.0,46,1.0,other,25.0,0,0,0,1,5000.0
457,900.0,3.0,84,2.0,other,220.0,0,0,1,0,24444.44
459,650.0,2.0,60,2.0,other,62.0,0,0,0,1,9538.46
461,450.0,1.0,42,1.0,other,22.0,0,0,0,1,4888.89
463,470.0,1.0,44,1.0,other,15.0,0,0,0,1,3191.49
464,450.0,1.0,42,1.0,other,35.0,0,0,0,1,7777.78
467,650.0,1.0,60,1.0,other,40.0,0,0,0,1,6153.85
468,452.0,1.0,42,1.0,other,35.0,1,0,0,0,7743.36
470,838.0,2.0,78,2.0,other,110.0,0,1,0,0,13126.49
472,485.0,1.0,45,1.0,other,14.0,0,1,0,0,2886.6
474,800.0,1.0,74,1.0,other,45.0,1,0,0,0,5625.0
475,400.0,1.0,37,1.0,other,17.0,0,1,0,0,4250.0
477,450.0,1.0,42,1.0,other,32.0,0,0,0,1,7111.11
479,900.0,2.0,84,2.0,other,85.0,0,1,0,0,9444.44
480,452.0,1.0,42,1.0,other,40.0,0,0,0,1,8849.56
481,753.0,2.0,70,2.0,other,95.0,0,1,0,0,12616.2
483,650.0,2.0,60,2.0,other,70.0,0,0,0,1,10769.23
484,500.0,1.0,46,1.0,other,23.0,1,0,0,0,4600.0
